run_group,condition,seed,wall_seconds_mean,wall_seconds_std,peak_memory_mb_max,routing_svd_seconds_mean,recon_error_mean
default,b1,42,1.7139535378664732,,19143.6611328125,0.0,0.0
default,b2,42,1.7204337660223246,,19143.6611328125,0.0,0.0
default,b3,42,1.79433910921216,,19143.6611328125,0.0,0.0
default,b4,42,3.049564491957426,,19292.037109375,1.3290162030607462,0.12682954433747445
default,b4b,42,2.177138125523925,,19292.037109375,0.41003020107746124,0.0
default,ours,42,3.198487624526024,,19292.037109375,1.4764806516468525,0.17500637618281645
default,ours_minus,42,2.1591380573809147,,19292.037109375,0.4117521867156029,0.0
gsm8k256,b1,42,6.552570002153516,0.48062253862138926,19656.2509765625,0.0,0.0
gsm8k256,b2,42,6.809178155846894,0.1756629952679229,19656.2509765625,0.0,0.0
gsm8k256,b3,42,6.741599570959806,,19550.87109375,0.0,0.0
gsm8k256,ours,42,61.295008685439825,,19550.87109375,54.396192168816924,0.3827722986019564
